Doenca,Classe
Afecções,Afecções atróficas da pele
Afecções,Afecções hipertróficas da pele
Amputação,Amputação traumática da perna
Anoftalmia,"Anoftalmia, microftalmia e macroftalmia"
Artropatias,Artropatias psoriásicas e enteropáticas
Assistência,Assistência e exame pós-natal
Auto-intoxicação,Auto-intoxicação voluntária por álcool
Cólica,Cólica nefrética não especificada
Colisão,Colisão entre duas pessoas
Coxartrose,Coxartrose [artrose do quadril]
Cromomicose,Cromomicose e abscesso feomicótico
Deficiência,Deficiência de ácido ascórbico
Deficiência,Deficiência de niacina [pelagra]
Deformidades,Deformidades congênitas do pé
Dentes,Dentes inclusos e impactados
Dermatites,Dermatites alérgicas de contato
Desnutrição,Desnutrição protéico-calórica não especificada
Diabetes,Diabetes mellitus na gravidez
Diabetes,Diabetes mellitus não especificado
Doença,Doença alcoólica do fígado
Doença,Doença de refluxo gastroesofágico
Embolia,Embolia de origem obstétrica
Embolia,Embolia e trombose arteriais
Encefalite,"Encefalite viral, não especificada"
Encefalite,"Encefalite, mielite e encefalomielite"
Endocardite,Endocardite aguda e subaguda
Eritema,Eritema polimorfo (eritema multiforme)
Febre,Febres tifóide e paratifóide
Fibrose,Fibrose e cirrose hepáticas
Gengivite,Gengivite e doenças periodontais
Gonartrose,Gonartrose [artrose do joelho]
Hematúria,Hematúria recidivante e persistente
Hepatite,Hepatite viral não especificada
Intoxicação,Intoxicação por antibióticos sistêmicos
Laringite,Laringite e laringotraqueíte crônicas
Laringite,Laringite e traqueíte agudas
Linfogranuloma,Linfogranuloma (venéreo) por clamídia
Melanoma,Melanoma maligno da pele
Nasofaringite,Nasofaringite aguda [resfriado comum]
Neoplasia,Neoplasia benigna da mama
Neoplasia,Neoplasia benigna das meninges
Neoplasia,Neoplasia benigna do ovário
Neoplasia,Neoplasia maligna da amígdala
Neoplasia,Neoplasia maligna da bexiga
Neoplasia,Neoplasia maligna da gengiva
Neoplasia,Neoplasia maligna da hipofaringe
Neoplasia,Neoplasia maligna da laringe
Neoplasia,Neoplasia maligna da mama
Neoplasia,Neoplasia maligna da nasofaringe
Neoplasia,Neoplasia maligna da orofaringe
Neoplasia,Neoplasia maligna da placenta
Neoplasia,Neoplasia maligna da próstata
Neoplasia,Neoplasia maligna da traquéia
Neoplasia,Neoplasia maligna da vagina
Neoplasia,Neoplasia maligna da vulva
Neoplasia,Neoplasia maligna das meninges
Neoplasia,Neoplasia maligna do cólon
Neoplasia,Neoplasia maligna do encéfalo
Neoplasia,Neoplasia maligna do esôfago
Neoplasia,Neoplasia maligna do estômago
Neoplasia,Neoplasia maligna do lábio
Neoplasia,Neoplasia maligna do ovário
Neoplasia,Neoplasia maligna do palato
Neoplasia,Neoplasia maligna do pâncreas
Neoplasia,Neoplasia maligna do pênis
Neoplasia,Neoplasia maligna do reto
Neoplasia,Neoplasia maligna do timo
Neoplasia,Neoplasia maligna dos testículos
Neoplasia,Neoplasia maligna dos ureteres
Neuropatia,Neuropatia hereditária e idiopática
Órgãos,Órgãos e tecidos transplantados
Osteoporose,Osteoporose com fratura patológica
Osteoporose,Osteoporose sem fratura patológica
Outras,Outras doenças da mama
Outras,Outras doenças do apêndice
Outras,Outras doenças do esôfago
Outras,Outras doenças do fígado
Outras,Outras doenças do intestino
Outras,Outras doenças do pâncreas
Outras,Outras doenças do pericárdio
Outras,Outras doenças dos maxilares
Outras,Outras formas de apendicite
Outras,Outras formas de hiperalimentação
Outras,Outras infecções por espiroquetas
Outras,Outras infecções por Salmonella
Outras,Outras infestações por cestóides
Outras,Outras infestações por trematódeos
Outras,Outras inflamações da pálpebra
Outros,Outros defeitos da coagulação
Outros,Outros distúrbios da coordenação
Outros,Outros tipos de aborto
Outros,Outros tipos de tétano
Outro,Outros transtornos articulares específicos
Outro,Outros transtornos da bexiga
Outro,Outros transtornos da conjuntiva
Outro,Outros transtornos da córnea
Outro,Outros transtornos da coróide
Outro,Outros transtornos da pálpebra
Outro,Outros transtornos da pigmentação
Outro,Outros transtornos da retina
Outro,Outros transtornos da tireóide
Outro,Outros transtornos da uretra
Outro,Outros transtornos de condução
Outro,Outros transtornos do cristalino
Outro,Outros transtornos do encéfalo
Outro,Outros transtornos hematológicos perinatais
Outro,Outros transtornos psicóticos não-orgânicos
Psicose,Psicose não-orgânica não especificada
Rinite,Rinite alérgica e vasomotora
Septicemia,Septicemia bacteriana do recém-nascido
Seqüelas,Seqüelas de doenças cerebrovasculares
Seqüelas,Seqüelas de hanseníase [lepra]
Sonolência,"Sonolência, estupor e coma"
Tétano,Tétano do recém-nascido [neonatal]
Transtornos,Transtornos da rótula [patela]
Transtornos,Transtornos dissociativos [de conversão]
Transtornos,Transtornos do humor vítreo
Transtornos,Transtornos do nervo trigêmeo
Traumatismo Superficial,Traumatismo superficial da cabeça
Traumatismo Superficial,Traumatismo superficial da perna
Traumatismo Superficial,Traumatismo superficial do pescoço
Traumatismo Superficial,Traumatismo superficial do tórax
Varíola,Varíola dos macacos [Monkeypox]
Verrugas,Verrugas de origem viral
Vítima,Vítima de erupção vulcânica
Vítima,Vítima de tempestade cataclísmica
Vômitos,Vômitos excessivos na gravidez
Rastreamento,"Rastreamento (""screening"") pré-natal"
Anemia,Anemia aguda pós-hemorrágica
Anemia,Anemia hemolítica adquirida
Coma,Coma hipoglicêmico não-diabético
Cuidados,Cuidados envolvendo diálise
Demência,Demência não especificada
Doença,Doença cardíaca hipertensiva
Doença,Doença hepática tóxica
Doença,Doença renal hipertensiva
Esquistossomose,Esquistossomose [bilharziose] [Schistosomíase]
Febres,Febres recorrentes [Borrelioses]
Hepatite,Hepatite viral crônica
Hipertensão,Hipertensão essencial (primária)
Imunodeficiência,Imunodeficiência comum variável
Linfoma,Linfoma não-Hodgkin difuso
Malária,Malária não especificada
Micose,Micose não especificada
Nefrite,Nefrite túbulo-intersticial aguda
Nefrite,Nefrite túbulo-intersticial crônica
Neoplasia,Neoplasia lipomatosa benigna
Otite,Otite média não-supurativa
Outras,Outras artropatias especificadas
Outras,Outras vasculopatias necrotizantes
Parto,Parto único espontâneo
Síndrome,Síndrome nefrítica aguda
Síndrome,Síndrome nefrítica crônica
Transtorno,Transtorno afetivo bipolar
Transtorno,Transtorno delirante induzido
Transtorno,Transtorno depressivo recorrente
Transtornos,Transtornos delirantes persistentes
Ocupante Veículo Transporte Pesado,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a motor de duas ou três rodas
Ocupante Automóvel carro,Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados
Ocupante Ônibus,Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas
Ocupante Triciclo Motorizado,Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo a motor de duas ou três rodas
Ocupante Triciclo Motorizado,Ocupante de um triciclo motorizado traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados
Ocupante Veículo Motor Especial Qualquer Terreno,Ocupante de um veículo especial a motor usado principalmente em áreas industriais traumatizado em um acidente de transporte
Transtornos Mentais e Comportamentais,Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas
Disparo de Outra,"Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada"
Ocupante Veículo Caminhonete,Ocupante de uma caminhonete traumatizado em colisão com veículo a motor de duas ou três rodas
Transtornos,"Transtornos da vesícula biliar, das vias biliares e do pâncreas em doenças classificadas em outra parte"
Acidente de Trânsito,"Acidente de trânsito de tipo especificado, mas sendo desconhecido o modo de transporte da vítima"
Ocupante Veículo Transporte Pesado,Ocupante de um veículo de transporte pesado traumatizado em colisão com um veículo a pedal
Ocupante Veículo Transporte Pesado,Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão
Ciclista,Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas
Motociclista,Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas
Pedestre,Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas
Acidente,"Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
Efeitos Adversos,"Efeitos adversos de estimulantes do sistema nervoso central, não classificados em outra parte"
Ocupante Automóvel carro,Ocupante de um automóvel [carro] traumatizado em colisão com um veículo a pedal
Ocupante Automóvel carro,Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão
Ocupante Triciclo Motorizado,Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal
Ocupante Triciclo Motorizado,Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão
Achados Anormais,Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal
Distúrbios do Metabolismo,Distúrbios do metabolismo de esfingolípides e outros distúrbios de depósito de lípides
Efeitos Adversos,Efeitos adversos de drogas que atuam primariamente sobre o sistema nervoso autônomo
Efeitos Adversos,Efeitos adversos de outras vacinas e substâncias biológicas e as não especificadas
Infecções Agudas,Infecções agudas das vias aéreas superiores de localizações múltiplas e não especificadas
Ocupante Automóvel carro,Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado
Ocupante Ônibus,Ocupante de um ônibus traumatizado em colisão com um veículo a pedal
Ocupante Ônibus,Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão
Ocupante Triciclo Motorizado,Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado
Ocupante Veículo Caminhonete,Ocupante de uma caminhonete traumatizado em colisão com um veículo a pedal
Ocupante Veículo Caminhonete,Ocupante de uma caminhonete traumatizado em um acidente de transporte sem colisão
Outras Febres,Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte
Outras ,"Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte"
Outros,Outros transtornos do rim e do ureter não classificado em outra parte
Outros,Outros transtornos que comprometem o mecanismo imunitário não classificados em outra parte
Vítima,"Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre"
Achados Anormais,Achados anormais de material proveniente dos órgãos respiratórios e do tórax
Agressão,Agressão por meio de disparo de arma de fogo de mão
Calculose,Calculose do trato urinário inferior em doenças classificadas em outra parte
Exame Geral,Exame geral e investigação de pessoas sem queixas ou diagnóstico relatado
História Pessoal,"História pessoal de fatores de risco, não classificados em outra parte"
Modificações,Modificações duradouras da personalidade não atribuíveis a lesão ou doença cerebral
Ocupante Veículo Caminhonete,Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado
Outros Transtornos,Outros transtornos do aparelho circulatório em doenças classificadas em outra parte
Outros Transtornos,Outros transtornos do sistema nervoso em doenças classificadas em outra parte
Outros Traumatismos,Outros traumatismos e os não especificados do ombro e do braço
Outros Traumatismos,Outros traumatismos e os não especificados do punho e da mão
Outros Traumatismos,Outros traumatismos e os não especificados do quadril e da coxa
Outros Traumatismos,Outros traumatismos e os não especificados do tornozelo e do pé
Pessoas,Pessoas em contato com os serviços de saúde em outras circunstâncias
Seqüelas,Seqüelas de outros efeitos de causas externas e dos não especificados
Traumatismos,Traumatismos de nervos e da medula espinhal ao nível do tórax
Exame Especial,"Exame especial de rastreamento (""screening"") de outros transtornos e doenças"
Exame Geral,"Exame geral de rotina (""check up"") de uma subpopulação definida"
Achados Anormais,"Achados anormais, de exames para diagnóstico por imagem, da mama"
Achados Anormais,"Achados anormais, de exames para diagnóstico por imagem, do pulmão"
Agente Resistente,Agente resistente a outros antibióticos e a antibióticos não especificados
Agressão,Agressão por meio de impacto de um veículo a motor
Carcinoma,Carcinoma in situ de outras localizações e das não especificadas
Carcinoma,Carcinoma in situ do ouvido médio e do aparelho respiratório
Envenenamento,"Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada"
Estado de Infecção,Estado de infecção assintomática pelo vírus da imunodeficiência humana [HIV]
Exposição,Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta
Exposição,Exposição a outras forças da natureza e às não especificadas
Geladura,Geladura de múltiplas partes do corpo e das não especificadas
Intoxicação,Intoxicação por substâncias que atuam primariamente sobre o aparelho circulatório
